3-digit,2-digit
AAR,AA
ABK,AB
AFR,AF
AKA,AK
SQI,SQ
AMH,AM
ARA,AR
ARG,AN
HYE,HY
ASM,AS
AVA,AV
AVE,AE
AYM,AY
AZE,AZ
BAK,BA
BAM,BM
EUS,EU
BEL,BE
BEN,BN
BIH,BH
BIS,BI
BOD,BO
BOS,BS
BRE,BR
BUL,BG
MYA,MY
CAT,CA
CES,CS
CHA,CH
CHE,CE
ZHO,ZH
CHU,CU
CHV,CV
COR,KW
COS,CO
CRE,CR
CYM,CY
CES,CS
DAN,DA
DEU,DE
DIV,DV
NLD,NL
DZO,DZ
ELL,EL
ENG,EN
EPO,EO
EST,ET
EUS,EU
EWE,EE
FAO,FO
FAS,FA
FIJ,FJ
FIN,FI
FRA,FR
FRY,FY
FUL,FF
KAT,KA
DEU,DE
GLA,GD
GLE,GA
GLG,GL
GLV,GV
ELL,EL
GRN,GN
GUJ,GU
HAT,HT
HAU,HA
HEB,HE
HER,HZ
HIN,HI
HMO,HO
HRV,HR
HUN,HU
HYE,HY
IBO,IG
ISL,IS
IDO,IO
III,II
IKU,IU
ILE,IE
INA,IA
IND,ID
IPK,IK
ISL,IS
ITA,IT
JAV,JV
JPN,JA
KAL,KL
KAN,KN
KAS,KS
KAT,KA
KAU,KR
KAZ,KK
KHM,KM
KIK,KI
KIN,RW
KIR,KY
KOM,KV
KON,KG
KOR,KO
KUA,KJ
KUR,KU
LAO,LO
LAT,LA
LAV,LV
LIM,LI
LIN,LN
LIT,LT
LTZ,LB
LUB,LU
LUG,LG
MKD,MK
MAH,MH
MAL,ML
MRI,MI
MAR,MR
MSA,MS
MKD,MK
MLG,MG
MLT,MT
MON,MN
MRI,MI
MSA,MS
MYA,MY
NAU,NA
NAV,NV
NBL,NR
NDE,ND
NDO,NG
NEP,NE
NLD,NL
NNO,NN
NOB,NB
NOR,NO
NYA,NY
OCI,OC
OJI,OJ
ORI,OR
ORM,OM
OSS,OS
PAN,PA
FAS,FA
PLI,PI
POL,PL
POR,PT
PUS,PS
QUE,QU
ROH,RM
RON,RO
RUN,RN
RUS,RU
SAG,SG
SAN,SA
SIN,SI
SLK,SK
SLK,SK
SLV,SL
SME,SE
SMO,SM
SNA,SN
SND,SD
SOM,SO
SOT,ST
SPA,ES
SQI,SQ
SRD,SC
SRP,SR
SSW,SS
SUN,SU
SWA,SW
SWE,SV
TAH,TY
TAM,TA
TAT,TT
TEL,TE
TGK,TG
TGL,TL
THA,TH
BOD,BO
TIR,TI
TON,TO
TSN,TN
TSO,TS
TUK,TK
TUR,TR
TWI,TW
UIG,UG
UKR,UK
URD,UR
UZB,UZ
VEN,VE
VIE,VI
VOL,VO
CYM,CY
WLN,WA
WOL,WO
XHO,XH
YID,YI
YOR,YO
ZHA,ZA
ZHO,ZH
ZUL,ZU
