Type of procedure actual,Type of Procedure
Negotiated procedure,Negotiated procedure
Open Procedure,Open
Adapted procedure,Other
Competitive tendering,Competitive tendering
Competitive dialogue,Competitive dialogue
Procedure for awarding specific contracts,Direct award
Negotiated market,Negotiated procedure
Call for tenders open,Open
State Partnership Contract,Other
Restricted tender,Restricted
Negotiated market,Negotiated procedure
Negotiated contract - Specific Defense Decree,Negotiated procedure
Procedure with negotiations,Negotiated procedure
