Category ,CPV
Water and Environment,90000000
Energy and Mineral Development,71000000
Public Administration,79000000
Accountability,79000000
"Lands, Housing and Urban Development",75000000
Interest Payments,66000000
local government,"75131000, 75000000"
Health,"33000000, 85100000"
Tourism,63500000
Education,80000000
Agriculture,"16000000, 77000000"
District,98300000
Works and Transport,60000000
"Justice, Law and Order","75000000, 75200000"
Municipal,98300000
uncategorised,98300000
ICT and National Guidance,75000000
