Agency name on site ,Internal id 
ADB,106
AFDB,44
CTBTO,7141062
ECLAC,7231150
ESCAP,7132724
ESCWA,6696560
FAO,7751501
IAEA,7345979
IBRD,7271266
ICAO,7479234
ICC,7726847
ICJ,7798860
ICSID,7307943
ICTP,7431030
IFAD,6762783
IFC,1036189
ILO,7190926
IMF,7679884
IMO,7620950
IOM,7462174
ISA,7798861
ITC,7474382
ITC-ILO,7798862
ITLOS,7798863
ITU,7303342
OHCHR,7439059
OPCW,7165665
PAHO,7149225
STL,7724636
UNAuditors,7798864
UNGlobalCompact,7785135
UNSecretariat,7134924
UNAIDS,7798865
UNAKRT,7781935
UNCCD,7308027
UNCDF,7574829
UNCTAD,7755748
UNDG,7798869
UNDP,7358951
UNECA,7238405
UNECE,7798870
UNEP,7798871
UNESCO,7174981
UNFCCC,7785811
UNFPA,7046885
UN-Habitat,7307903
UNHCR,7755602
UNICC,7798872
UNICEF,6463617
UNICRI,7227738
UN-ICTR,7798879
UN-ICTY/MICT,7092555
UNIDIR,7798893
UNIDO,7166424
UNIFEM,7798894
UNITAR,7695741
UNLIREC,7275216
UNOCA,7170449
UNODC,7732309
UNOG,7268899
UNON,7302511
UNOPS,6451717
UNOV,7798895
UNRCO,7086160
UNRISD,7798896
UNRWA,7617301
UNSSC,7184980
UNTSO,7086428
UNU,7498320
UNV,7209651
UN-Women,6626573
UNWTO,7763310
UPU,7196922
WBG,7633249
WFP,7183882
WHO,6687056
WIPO,7726682
WMO,7206962
WMU,7798897
WTO,7180081
